,Age,Gender,Blood Pressure,Cholesterol Level,Exercise Habits,Smoking,Family Heart Disease,Diabetes,BMI,High Blood Pressure,Low HDL Cholesterol,High LDL Cholesterol,Alcohol Consumption,Stress Level,Sleep Hours,Sugar Consumption,Triglyceride Level,Fasting Blood Sugar,CRP Level,Homocysteine Level,Heart Disease Status
Age,1.0,-0.011,-0.021,0.011,-0.002,-0.001,-0.02,0.012,0.011,0.0,-0.015,0.002,0.012,-0.007,0.002,0.008,-0.008,-0.006,0.009,-0.007,-0.009
Gender,-0.011,1.0,-0.004,-0.012,0.014,-0.012,0.001,0.006,-0.015,0.015,0.006,-0.009,-0.025,-0.012,0.002,-0.008,0.016,-0.001,-0.014,0.004,-0.018
Blood Pressure,-0.021,-0.004,1.0,-0.012,-0.001,-0.003,0.006,0.02,0.005,0.011,-0.002,-0.002,-0.008,-0.002,0.001,-0.004,0.008,-0.012,-0.01,-0.003,-0.014
Cholesterol Level,0.011,-0.012,-0.012,1.0,-0.005,0.008,-0.004,0.004,0.022,-0.008,-0.004,-0.001,0.013,0.008,0.011,-0.002,0.001,0.0,-0.018,-0.006,0.003
Exercise Habits,-0.002,0.014,-0.001,-0.005,1.0,-0.02,-0.0,0.005,-0.012,-0.0,0.002,0.018,0.002,0.001,0.001,-0.002,-0.004,0.002,-0.004,-0.008,0.001
Smoking,-0.001,-0.012,-0.003,0.008,-0.02,1.0,0.001,-0.01,-0.009,0.024,0.011,-0.013,-0.008,-0.006,0.003,0.005,0.005,0.006,-0.006,-0.013,0.003
Family Heart Disease,-0.02,0.001,0.006,-0.004,-0.0,0.001,1.0,-0.009,-0.009,0.019,0.005,0.012,-0.006,0.014,0.005,-0.0,0.002,-0.004,0.017,0.009,-0.005
Diabetes,0.012,0.006,0.02,0.004,0.005,-0.01,-0.009,1.0,-0.004,-0.006,-0.007,0.0,-0.013,-0.025,0.019,0.001,-0.006,0.004,-0.004,-0.007,-0.003
BMI,0.011,-0.015,0.005,0.022,-0.012,-0.009,-0.009,-0.004,1.0,0.011,0.0,0.017,-0.002,0.008,-0.001,-0.013,0.005,0.006,-0.017,0.004,0.02
High Blood Pressure,0.0,0.015,0.011,-0.008,-0.0,0.024,0.019,-0.006,0.011,1.0,0.012,-0.01,-0.015,0.011,0.011,-0.008,-0.012,0.009,0.012,-0.007,0.002
Low HDL Cholesterol,-0.015,0.006,-0.002,-0.004,0.002,0.011,0.005,-0.007,0.0,0.012,1.0,-0.003,0.005,0.005,-0.014,-0.008,0.018,0.001,0.003,0.004,-0.007
High LDL Cholesterol,0.002,-0.009,-0.002,-0.001,0.018,-0.013,0.012,0.0,0.017,-0.01,-0.003,1.0,0.027,0.019,0.007,0.003,0.004,0.01,-0.001,-0.008,0.007
Alcohol Consumption,0.012,-0.025,-0.008,0.013,0.002,-0.008,-0.006,-0.013,-0.002,-0.015,0.005,0.027,1.0,-0.005,0.012,0.032,-0.009,0.009,0.008,0.007,-0.017
Stress Level,-0.007,-0.012,-0.002,0.008,0.001,-0.006,0.014,-0.025,0.008,0.011,0.005,0.019,-0.005,1.0,-0.019,-0.013,0.01,0.007,0.015,-0.011,0.016
Sleep Hours,0.002,0.002,0.001,0.011,0.001,0.003,0.005,0.019,-0.001,0.011,-0.014,0.007,0.012,-0.019,1.0,0.017,0.002,0.009,0.002,-0.02,-0.004
Sugar Consumption,0.008,-0.008,-0.004,-0.002,-0.002,0.005,-0.0,0.001,-0.013,-0.008,-0.008,0.003,0.032,-0.013,0.017,1.0,-0.004,-0.006,-0.012,-0.018,-0.009
Triglyceride Level,-0.008,0.016,0.008,0.001,-0.004,0.005,0.002,-0.006,0.005,-0.012,0.018,0.004,-0.009,0.01,0.002,-0.004,1.0,0.008,-0.006,-0.006,0.003
Fasting Blood Sugar,-0.006,-0.001,-0.012,0.0,0.002,0.006,-0.004,0.004,0.006,0.009,0.001,0.01,0.009,0.007,0.009,-0.006,0.008,1.0,0.01,-0.02,-0.002
CRP Level,0.009,-0.014,-0.01,-0.018,-0.004,-0.006,0.017,-0.004,-0.017,0.012,0.003,-0.001,0.008,0.015,0.002,-0.012,-0.006,0.01,1.0,-0.01,-0.006
Homocysteine Level,-0.007,0.004,-0.003,-0.006,-0.008,-0.013,0.009,-0.007,0.004,-0.007,0.004,-0.008,0.007,-0.011,-0.02,-0.018,-0.006,-0.02,-0.01,1.0,0.008
Heart Disease Status,-0.009,-0.018,-0.014,0.003,0.001,0.003,-0.005,-0.003,0.02,0.002,-0.007,0.007,-0.017,0.016,-0.004,-0.009,0.003,-0.002,-0.006,0.008,1.0
